gene_id,s1,s10,s11,s12,s2,s3,s4,s5,s6,s7,s8,s9
Gm13483,3,2,0,0,8,0,8,4,0,0,5,0
Rbm12,923,1001,860,664,804,700,897,884,1008,726,1441,820
Golga2,4335,4661,3835,3346,3657,2928,3528,3686,3852,2693,6439,4378
Rbm17,1233,1370,1206,926,1053,861,1107,1277,1574,915,2274,1372
Ubr3,2522,2776,2465,1815,2126,2115,2370,2182,2345,2029,3800,2735
Nfe2l2,3815,4364,3934,3018,3365,3189,3393,3777,4158,3161,5757,4304
Rbm18,995,1261,1077,820,987,851,967,953,1012,777,1372,1238
Tcp11l1,166,185,167,136,133,126,166,144,168,95,285,200
Stxbp1,1325,1389,1193,1065,1240,1036,1319,1356,1539,1038,2306,1337
Ppp1r3d,263,255,182,158,171,151,155,186,243,101,329,278
Snapc4,906,1074,795,952,740,606,789,642,657,509,1459,890
Ankrd16,458,580,431,439,416,334,426,376,404,360,839,457
Spef1,389,438,347,347,399,329,327,269,314,168,420,406
Fam210b,4243,3762,3226,2082,2492,2521,2719,2736,2194,1390,3740,3692
Col9a3,46,42,59,57,35,37,47,36,45,48,135,46
Celf1,2214,1877,1565,1393,2122,1748,1907,1643,2145,1216,2912,1785
Ccdc148,5,4,0,0,4,3,5,3,5,0,0,6
Tnks1bp1,7270,7493,6942,6125,5900,5700,6392,8478,9151,6549,15524,7477
8430437L04Rik,0,0,0,0,0,0,0,0,0,0,0,0
Slc25a25,4655,6097,4191,3008,4472,4153,4189,4091,2983,2734,6568,4261
Ywhab,8103,9458,7788,5484,6672,6190,7275,9274,9613,7176,14583,8742
Med19,497,598,483,328,401,308,405,558,606,380,851,484
Gm10857,0,0,0,0,0,0,0,0,0,0,0,0
Xirp2,0,0,0,0,0,0,0,0,0,0,0,0
Eya2,22,129,101,131,100,75,88,78,102,49,85,196
Arpc5l,619,807,626,558,716,540,636,709,824,543,1093,675
Mrpl41,305,316,288,241,258,207,273,320,367,228,557,269
Nebl,5416,4288,3921,2345,2685,3532,3413,3332,2766,2541,4703,4399
Mamdc4,198,195,137,154,151,98,156,88,117,67,271,146
Ckmt1,0,0,0,0,0,0,0,0,0,0,0,0
Soga1,12435,10976,9968,8337,9081,8653,10675,7220,6738,5205,12420,12423
Kif18a,36,75,43,29,30,27,33,68,111,54,101,47
Alx4,22,39,21,22,26,23,8,33,39,16,49,37
Nr5a1,0,0,0,0,0,0,0,0,0,0,0,0
Ralgapa2,386,402,345,297,341,286,357,318,321,251,625,477
